dataset,feature,target_corr,intercept,intercept_se,intercept_t,intercept_p,slope,slope_se,slope_t,slope_p,r_squared,adj_r_squared,f_stat,f_pvalue,rmse,n
airfoil,frequency_hz,-0.39071141170821366,127.30373759248681,0.22219211407854236,572.9444454877746,0.0,-0.0008549790125253023,5.199230158034172e-05,-16.44433861432612,5.361777056416415e-56,0.1526554072390256,0.15209088719055053,270.41627246261754,5.361777056417141e-56,6.348191742929221,1503
airfoil,suction_displacement_thickness_m,-0.31266950627654844,126.66318909574562,0.2216225793250442,571.5265542053558,0.0,-164.02746263610982,12.861783564340366,-12.753088388991422,1.9247829560263775e-35,0.09776222015521707,0.09716112902940444,162.6412634574286,1.924782956026456e-35,6.550591373457404,1503
